type,name,price,original price,discount,id
電視,NEWQ 42型 護眼低藍光高畫質LED液晶顯示器42NQ-DC1(台灣製),9680.0,10900.0,0.8880733944954129,27
雜誌、文具,少年牛頓一年期,3000.0,3360.0,0.8928571428571429,122
YVONNE,Yvonne Collection娃娃玩偶吊飾-淺灰,358.0,398.0,0.8994974874371859,236
BAG TO YOU,IMPACT 怡寶博學調整型護脊書包-橘紅 IM00221OG,3230.0,3590.0,0.8997214484679665,195
奇哥,奇哥 法國BEABA 360度練習湯匙 (顏色隨機),297.0,330.0,0.9,147
EASY SHOP 奧黛莉,推Audrey-水漾巴黎 水袋款B-D罩內衣(焦糖可可),1512.0,1680.0,0.9,158
黛安芬,黛安芬-Home Bra-無鋼圈 紓壓- B-C罩杯內衣(清爽灰),1242.0,1380.0,0.9,164
Hush Puppies,Hush Puppies 熱銷基本款★咖啡紗皮質休閒鞋-白色,1332.0,1480.0,0.9,180
KINAZ,KINAZ 永恆摯愛兩用斜背包-仙人掌系列,3582.0,3980.0,0.9,197
MIRYOKU,MIRYOKU青春斜紋系列 / 休閒活力後背包(共4色),2772.0,3080.0,0.9,198
THE BODY SHOP,The Body Shop青蘋果身體滋養霜200ML,882.0,980.0,0.9,230
歐系名牌包、配件,LV M40780 METIS系列經典Monogram手提/斜背郵差包,63250.0,69700.0,0.9074605451936872,77
LV路易威登,LV M60571 Monogram Empreinte壓紋小牛皮拉鍊長夾(黑色),38940.0,42700.0,0.911943793911007,92
CHANEL香奈兒,CHANEL 經典金色雙C菱格紋荔枝紋牛皮長夾(黑色),37800.0,41000.0,0.9219512195121952,88
投影機,SONY MP-CL1A 行動微型投影機,12900.0,13900.0,0.9280575539568345,29
衛生紙衛生棉、尿布,舒潔濕式衛生紙40抽x3包/袋,139.0,149.0,0.9328859060402684,5
纖盈、美體,Eisai-日本衛采 俏正美Chocola BB 膠原錠(120錠x1瓶),850.0,900.0,0.9444444444444444,100
單眼相機,Canon EF 100-400mm f/4.5-5.6L IS II USM(公司貨),71240.0,75200.0,0.9473404255319149,44
自行車,BIKEDNA SWIFT1.0 SHIMANO14速 鋁合金彎把公路車,8790.0,8990.0,0.9777530589543938,120
記憶卡、隨身碟,原價$469)SanDisk Ultra microSD UHS-I 32GB 記憶卡(公司貨),469.0,479.0,0.9791231732776617,19
手機,Apple iPhone7 PLUS 128G 5.5吋智慧型手機,32620.0,32900.0,0.9914893617021276,46
電競,羅技 G302 MOBA電競滑鼠,1190.0,1199.0,0.9924937447873228,20
男鞋、運動男鞋,Nike Air Jordan 11代 低筒 男鞋,5980.0,6000.0,0.9966666666666667,71
影音DVD,迪士尼公主典藏套裝1 DVD,1295.0,1299.0,0.9969207082371054,39
相機週邊配件,可攜式移動背景架黑白背景布全套組-附提袋,2989.0,2990.0,0.9996655518394649,45
保健食品,獨家真水襯墊限時滿千折百,1692.0,1692.0,1.0,4
居家生活,IU即時翻譯口譯機-黑色,2200.0,2200.0,1.0,8
婦幼用品、玩具,Kipling 掛繩零錢包 繽紛棕欖葉,1665.0,1665.0,1.0,9
精品、珠寶、手錶,MAGY 甜美舒適 金屬造型飾扣牛皮娃娃鞋-黑色,1680.0,1680.0,1.0,10
平板電腦,Samsung GALAXY Tab S3 9.7 WiFi平板電腦(銀),19900.0,19900.0,1.0,13
光碟片、墨水、碳粉,HP CH563WA NO.61XL 原廠黑色墨水匣,1129.0,1129.0,1.0,24
電腦軟體,卡巴斯基 安全軟體2017 / 1台2年,1490.0,1490.0,1.0,26
